,Country,Mortality_rate,Cases_per_ML,Deaths_per_ML,Recovered_per_ML,Active_per_ML,Critical_per_ML,Tests_per_ML,Clust_mem
6,Mexico,0.114743312,2627.316429,301.4669879,1651.262015,674.587426,2.930326101,6315.341136,2
8,Spain,0.092472384,6573.207709,607.8401845,3208.164239,1752.876777,13.1962489,128892.1903,2
9,UK,0.153667671,4341.333887,667.1226664,5.066008769,3669.145211,2.091201294,195770.6514,2
13,Italy,0.143372035,4043.093982,579.6666119,3257.66185,205.7655201,0.810491197,103181.302,2
18,France,0.172618707,2675.731952,461.8813894,1213.725396,1000.125167,7.306892503,40114.71729,2
26,Sweden,0.072708686,7649.817126,556.2081551,821.2954374,6272.313534,5.543274014,67491.34086,2
32,Belgium,0.153831664,5495.626945,845.4014389,1491.443416,3158.782091,2.415432682,124643.659,2
39,Netherlands,0.118627356,3018.359386,358.0599941,14.58849389,2645.710898,0.992017585,44587.0473,2
50,Switzerland,0.058616891,3879.911366,227.4283433,3499.786086,152.6969375,2.541098808,83949.35729,2
55,Ireland,0.068051242,5214.218136,354.8340215,4729.231077,130.1530381,1.619322403,111475.7735,2
96,Hungary,0.137549042,448.5947482,61.70377797,333.6766382,53.21433201,0.310589486,31871.24368,2
127,Yemen,0.277085928,53.79744832,14.90651588,23.85042541,15.04050703,0,4.019734619,2
145,Andorra,0.059090909,11388.48986,672.956219,10391.997,323.5366438,0,48530.49656,2
151,San Marino,0.060085837,20598.20245,1237.660233,19331.07411,29.46810078,0,168822.7494,2
154,Channel Islands,0.080617496,3351.749751,270.2096712,3041.296087,40.24399358,0,176619.3896,2
163,Isle of Man,0.071428571,3950.385045,282.1703604,3668.214685,0,0,87860.79596,2
186,Sint Maarten,0.189873418,1841.577696,349.6666511,1468.599935,23.31111008,0,12191.71057,2
206,Montserrat,0.083333333,2403.846154,200.3205128,2003.205128,200.3205128,0,12219.55128,2
210,British Virgin Islands,0.125,264.5415165,33.06768956,231.4738269,0,0,14516.71572,2
0,USA,0.036791186,11760.73009,432.6912022,5442.836898,5885.201986,50.18460465,145951.4907,1
1,Brazil,0.037880488,9868.624239,373.8283052,6448.825145,3045.970789,39.11916066,23096.49706,1
5,Peru,0.037294607,10717.2943,399.6972764,7333.643323,2983.953702,39.19076199,62536.69587,1
7,Chile,0.025694256,17304.42969,444.6244393,15780.89945,1078.905805,92.24009301,73418.04188,1
21,Qatar,0.001472133,37982.69467,55.91556394,36817.72773,1109.051376,45.58721136,157311.4942,1
30,Oman,0.004770405,13040.9104,62.2104305,8608.515043,4370.184927,32.27899696,52974.3335,1
33,Kuwait,0.006891426,13854.14536,95.47482109,11627.10156,2131.568984,30.88891271,107490.8421,1
38,Panama,0.020493293,12103.74933,248.0456849,6367.663921,5488.039728,40.06713677,42443.60435,1
47,Bahrain,0.003459448,21379.67024,73.9618486,19002.3251,2303.383285,27.00194473,426243.3075,1
49,Armenia,0.018378874,11768.75511,216.2964713,7860.234012,3692.224631,3.374359926,49507.59653,1
88,French Guiana,0.00555973,22258.93953,123.7536833,14288.53339,7846.652463,76.92796532,44608.1858,1
